0,494
100,214
200,190
301,169
401,199
501,281
602,354
702,421
802,482
903,537
1003,587
1103,635
1204,679
1305,717
1405,751
1506,782
1606,809
1707,833
1807,770
1907,683
2008,604
2108,534
2209,471
2310,416
2410,367
2510,323
2611,285
2711,250
2811,220
2912,194
3012,170
3113,201
3214,289
3314,367
3415,438
3515,501
3615,558
3716,610
3816,656
3916,697
4018,733
4118,765
4218,795
4319,820
4419,843
4519,730
4620,646
4720,572
4820,505
4922,446
5022,393
5123,346
5223,305
5323,269
5424,237
5524,208
5624,176
5725,161
5826,262
5926,339
6027,411
6127,476
6227,535
6328,587
6428,635
6529,678
6629,716
6730,750
6831,780
6931,807
7031,831
7132,764
7232,679
7332,606
7433,532
7533,467
7634,399
7735,352
7835,318
7936,282
8036,250
8136,221
8237,195
8337,173
8438,233
8539,317
8639,391
8739,457
8840,516
8940,570
9040,619
9141,663
9241,701
9342,736
9443,767
9543,795
9644,819
9744,841
9844,700
9945,621
10045,551
10145,484
10247,426
10347,375
10447,329
10548,289
10648,253
10748,222
10850,194
10950,171
11051,245
11151,333
11251,409
11352,479
11452,541
11553,595
11654,644
11754,686
11854,725
11955,759
12055,790
12156,818
12257,841
12357,698
12457,616
12558,543
12658,478
12759,420
12860,368
12960,323
13061,284
13161,249
13261,218
13362,191
13463,167
13563,261
13664,345
13764,421
13864,488
13965,549
14065,603
14167,650
14267,693
14367,731
14468,765
14568,795
14668,821
14770,844
14870,685
14970,604
15071,533
15171,469
15271,412
15372,361
15473,317
15574,279
15674,244
15774,215
15875,188
15975,165
16076,270
16177,353
16277,428
16377,494
16478,554
16578,607
16678,655
16780,697
16880,734
16980,768
17081,797
17181,823
17282,770
17383,676
17483,596
17584,525
17684,461
17784,405
17885,355
17985,311
18086,273
18187,240
18287,210
18387,184
18488,162
18588,283
18690,367
18790,439
18890,505
18991,565
19091,617
19191,663
19292,705
19393,741
19493,773
19594,803
19694,828
19794,749
19895,660
19996,580
20097,510
20197,450
20297,395
20398,347
20498,304
20598,266
20700,234
20800,205
20900,180
21001,158
21101,298
21201,380
21303,451
21403,515
21504,572
21604,623
21704,669
21805,710
21905,747
22006,779
22107,807
22207,831
22307,735
22408,647
22508,569
22609,500
22710,440
22810,387
22910,340
23011,298
23111,262
23212,229
23313,201
23413,177
23514,150
23614,310
23714,389
23815,461
23916,524
24016,581
24117,631
24217,676
24317,716
24418,752
24518,783
24620,811
24720,835
24820,720
24921,635
25021,560
25121,492
25223,433
25323,380
25423,333
25524,292
25624,256
25724,224
25825,196
25926,172
26027,239
26127,326
26227,403
26328,473
26428,537
26529,591
26630,641
26730,684
26830,723
26931,757
27031,788
27132,816
27233,839
27333,703
27433,620
27534,546
27634,480
27735,422
27836,371
27936,325
28037,285
28137,250
28237,219
28338,192
28439,168
28539,256
28640,341
28740,417
28840,485
28941,546
29041,601
29143,648
29243,691
29343,729
29444,763
29544,794
29644,820
29746,843
29846,687
29946,606
30047,534
30147,469
30247,412
30348,362
30449,317
30550,278
30650,244
30750,213
30851,187
30951,164
31052,273
31153,356
31253,431
31353,498
31454,559
31554,611
31654,658
31756,700
31856,738
31956,771
32057,800
32157,826
32258,757
32359,668
32459,589
32560,519
32660,457
32760,401
32861,351
32962,307
33062,270
33163,237
33263,208
33363,183
33464,160
33564,289
33666,371
33766,444
33866,508
33967,567
34067,619
34167,665
34269,707
34369,743
34469,775
34570,804
34670,829
34770,743
34871,655
34972,576
35073,507
35173,446
35273,391
35374,343
35474,301
35575,264
35676,231
35776,202
35876,178
35977,152
36077,306
36177,386
36279,458
36379,521
36480,578
36580,628
36680,674
36781,714
36882,750
36982,781
